run_id,seed,label_horizon_15
sir_graph_seed_0,0,0
sir_graph_seed_1,1,0
sir_graph_seed_2,2,0
sir_graph_seed_3,3,1
sir_graph_seed_4,4,0
sir_graph_seed_5,5,1
sir_graph_seed_6,6,0
sir_graph_seed_7,7,0
sir_graph_seed_8,8,0
sir_graph_seed_9,9,0
sir_graph_seed_10,10,0
sir_graph_seed_11,11,0
sir_graph_seed_12,12,0
sir_graph_seed_13,13,0
sir_graph_seed_14,14,0
sir_graph_seed_15,15,0
sir_graph_seed_16,16,0
sir_graph_seed_17,17,1
sir_graph_seed_18,18,1
sir_graph_seed_19,19,0
sir_graph_seed_20,20,0
sir_graph_seed_21,21,1
sir_graph_seed_22,22,0
sir_graph_seed_23,23,0
sir_graph_seed_24,24,0
sir_graph_seed_25,25,0
sir_graph_seed_26,26,0
sir_graph_seed_27,27,1
sir_graph_seed_28,28,0
sir_graph_seed_29,29,0
sir_graph_seed_30,30,0
sir_graph_seed_31,31,1
sir_graph_seed_32,32,0
sir_graph_seed_33,33,1
sir_graph_seed_34,34,1
sir_graph_seed_35,35,1
sir_graph_seed_36,36,0
sir_graph_seed_37,37,0
sir_graph_seed_38,38,0
sir_graph_seed_39,39,0
sir_graph_seed_40,40,0
sir_graph_seed_41,41,0
sir_graph_seed_42,42,0
sir_graph_seed_43,43,1
sir_graph_seed_44,44,0
sir_graph_seed_45,45,0
sir_graph_seed_46,46,0
sir_graph_seed_47,47,0
sir_graph_seed_48,48,0
sir_graph_seed_49,49,0
